FIELD_ID,FIELD_NAME,ALTERNATE_NAME,LONG_DESCRIPTION,FIELD_LENGTH,FIELD_TYPE,MASK,USER_SYSTEM_ATTRIBUTES,FIELD_VALUES,DATA_TYPE,LEVEL,FIELD_VALUES_ID
10114,State Abbreviation,stat_abbr,Standard USPS state abbreviation.,2,char,,,"AA=US Armed Forces America,AE=US Armed Forces Europe,AK=Alaska,AL=Alabama,AP=US Armed Forces Pacific,AR=Arkansas,AS=American Samoa,AZ=Arizona,CA=California,CO=Colorado,CT=Connecticut,DC=District of Columbia,DE=Delaware,FL=Florida,FM=Micronesia,GA=Georgia,GU=Guam,HI=Hawaii,IA=Iowa,ID=Idaho,IL=Illinois,IN=Indiana,KS=Kansas,KY=Kentucky,LA=Louisiana,MA=Massachusetts,MD=Maryland,ME=Maine,MH=Marshall Islands,MI=Michigan,MN=Minnesota,MO=Missouri,MP=Northern Mariana Islands,MS=Mississippi,MT=Montana,NC=North Carolina,ND=North Dakota,NE=Nebraska,NH=New Hampshire,NJ=New Jersey,NM=New Mexico,NV=Nevada,NY=New York,OH=Ohio,OK=Oklahoma,OR=Oregon,PA=Pennsylvania,PR=Puerto Rico,PW=Palau,RI=Rhode Island,SC=South Carolina,SD=South Dakota,TN=Tennessee,TX=Texas,UT=Utah,VA=Virginia,VI=US Virgin Islands,VT=Vermont,WA=Washington,WI=Wisconsin,WV=West Virginia,WY=Wyoming,",Known/Observed,Address,68f16509-4f30-4e19-8298-5d866212a161
10581,ZIP Code,recd_zipc,ZIP Code,5,char,,,,Known/Observed,ZIP9,
10579,ZIP+4,post_zip4,ZIP+4,4,char,,,,Known/Observed,ZIP9,
11357,Carrier Route,post_carr,Carrier Route Code,4,char,,,,Known/Observed,Address,
6337,State Code,geoc_stat_2000,State Code,2,AN,99,,"00=No Data available-on fixed formats only,01=Alabama,02=Alaska,04=Arizona,05=Arkansas,06=California,08=Colorado,09=Connecticut,10=Delaware,11=District of Columbia,12=Florida,13=Georgia,15=Hawaii,16=Idaho,17=Illinois,18=Indiana,19=Iowa,20=Kansas,21=Kentucky,22=Louisiana,23=Maine,24=Maryland,25=Massachusetts,26=Michigan,27=Minnesota,28=Mississippi,29=Missouri,30=Montana,31=Nebraska,32=Nevada,33=New Hampshire,34=New Jersey,35=New Mexico,36=New York,37=North Carolina,38=North Dakota,39=Ohio,40=Oklahoma,41=Oregon,42=Pennsylvania,44=Rhode Island,45=South Carolina,46=South Dakota,47=Tennessee,48=Texas,49=Utah,50=Vermont,51=Virginia,53=Washington,54=West Virginia,55=Wisconsin,56=Wyoming,",Known/Observed,ZIP9,12bafd4d-4a46-4894-9c12-522ea4acf2f5
6338,County Code,geoc_cnty_2000,County code,3,AN,999,,,Known/Observed,ZIP9,
30628,Census 2020: Tract and Block Group,geoc_blck_2020,"Based on 2020 Census GEOID/Standard Hierarchy of Census Geographic Entities. 

Example of Census GEOID: 482012231001050 (15 bytes):

FIPS State=48 (2 bytes)
FIPS County=201 (3 bytes)
Census Tract=223100 (6 bytes)
Block Group=1 (1 byte) 
Block (Block Group + Block ID=1050 (4 bytes)",7,char,9999999,,,Known/Declared,ZIP9,
30629,Census 2020:  Block ID,geoc_bid_2020,"Based on 2020 Census GEOID/Standard Hierarchy of Census Geographic Entities. 

Example of Census GEOID: 482012231001050 (15 bytes):

FIPS State=48 (2 bytes)
FIPS County=201 (3 bytes)
Census Tract=223100 (6 bytes)
Block Group=1 (1 byte) 
Block (Block Group + Block ID=1050 (4 bytes)",3,char,999,,,Known/Declared,ZIP9,
6342,County Name,geo_cntyname,"Counties and equivalent areas. These are the primary divisions of most states, Puerto Rico, and the Island Areas. Includes counties in 48 states; parishes in Louisiana; boroughs and census areas in Alaska; municipios in Puerto Rico; independent cities in Maryland, Missouri, Nevada, and Virginia; and other entities in the Island Areas. Counties provide a non-overlapping set of boundaries covering an entire landscape of the nation that can effectively be sub-divided into census tracts, block groups, and ultimately blocks.",25,char,,,,Known/Observed,GEOCEN2020,
13272,Delivery Point bar code,post_pcde,DirectDPV - Delivery Point bar code/check digit,3,char,,,,Known/Observed,Address,
11344,Latitude,post_lati,"Enrichment uses the Compass display format which has N=North and S=South in the last position of the field.  Universal Enrichment uses the Signed degree display, which uses - sign to indicate South latitude.",9,AN,999V999999,,,Known/Observed,Address,
10577,Longitude,post_long,"Enrichment uses the Compass display format which has E=East and W=West in the last position of the field.  Universal Enrichment uses the Signed degree display, which uses - sign to indicate West longitudes.",10,AN,M999V999999,,,Known/Observed,Address,
10677,Match level for geo data,geog_levl,Level of Match for GEO data,1,char,,,"2=Area center of the ZIP+2 Centroid,4=Area center of the ZIP+4 Centroid,5=Area center of the ZIP Code Centroid, based on pop,B=Population center of the Census Block Group,blank=Blank,R=Rooftop,T=Population center of the Census Tract,Z=Area center of the ZIP Code,",Derived,Address,c1903a84-955e-448f-af77-39741c2e8db8
3434,Address Quality Indicator,AQI,Measures the addres deliverability using the USPS Delivery Sequence File (DSF) footnotes and Experian proprietary logic.  AQI is a grade specific to the address components and does not include the resident(s) at the address.,1,char,,,"blank=Blank,E=Excellent,G=Good,M=Marginal,N=Phone only,S=Satisfactory,",Derived,Address,7fdc3204-4b29-42ea-98a9-111ec21186c9
4366,Recipient Reliability Code,rec_reliable_code,A confidence code ranking overall deliverability of living unit at a specific address. A combination of  USPS® Delivery Point Validation codes (DPV)  and an internally developed model.  Confidence level diminishes due to either deliverablity quality and/or a higher likelihood that the living unit may no longer reside at the address.,1,AN,9,,"0=Unknown,1=Very High,2=High,3=Moderate,4=Low,5=Telemarketing only/non-deliverable,6=End-dated/address only,7=Not for marketing use, linkage only,",Derived,LUID,289c80d0-0e0a-41c8-9ddb-838586a9ef42
891,Mail Objector,mobj_mobj,Consumers/Living Unit that have registered their preference regarding receiving direct mail offers.  N=Living Units that can be used for direct mail offers; not registered. Y=Living Units that cannot be used for direct mail offers; are registered.,1,char,,,"N=No,Y=Yes,",Known/Observed,LUID,9a5a8cb7-9804-43fb-8593-ad1e9439621a
10799,Person 1: Person Id Number- Fusion 92,recd_p_id_1,Unique identifier assigned to every person.  ID remains consistent but does change based on update logic.,10,char,,,,Derived,AdultPID,
10789,Person 1: First Name,fnam_fnam_1,First Name,15,char,,,,Known/Declared,AdultPID,
10795,Person 1: Middle Name,mnam_mnam_1,Middle Name,15,char,,,,Known/Declared,AdultPID,
10796,Person 1: Name Prefix,pfxt_pfxt_1,Name Prefix,6,char,,,,Known/Declared,AdultPID,
11385,Person 1: Surname,snam_snam_1,Surname,20,char,,,,Known/Declared,AdultPID,
11387,Person 1: Name Suffix,sfxt_sfxt_1,Name Suffix,6,char,,,,Known/Declared,AdultPID,
10800,Person 1: Person Type,perstype_1,Characterizes each person in the LU according to a role or status.,1,char,,,"D=Deceased,E=Elderly Parent,O=Other or Blank,P=Primary Decision Maker,Y=Young Adult,",Derived,AdultPID,00a3b6eb-f927-4959-b363-c15586b8c7a7
10766,Person 1: Birth Year and Month,bdat_bdat_1,Birth Year and Month,6,char,YYYYMM,,,Known/Declared,AdultPID,
10769,Person 1: Combined Age,combined_age_1,Combines exact and inferred age. Exact age is calculated using the individual's date of birth. Inferred age estimates the individual's age using both individual and area level data and is only present when there is no exact age,3,char,,,"blank=No Age,E00=Exact Age 0,E01=Exact Age 1,E02=Exact Age 2,E03=Exact Age 3,E04=Exact Age 4,E05=Exact Age 5,E06=Exact Age 6,E07=Exact Age 7,E08=Exact Age 8,E09=Exact Age 9,E10=Exact Age 10,E11=Exact Age 11,E12=Exact Age 12,E13=Exact Age 13,E14=Exact Age 14,E15=Exact Age 15,E16=Exact Age 16,E17=Exact Age 17,E18=Exact Age 18,E19=Exact Age 19,E20=Exact Age 20,E21=Exact Age 21,E22=Exact Age 22,E23=Exact Age 23,E24=Exact Age 24,E25=Exact Age 25,E26=Exact Age 26,E27=Exact Age 27,E28=Exact Age 28,E29=Exact Age 29,E30=Exact Age 30,E31=Exact Age 31,E32=Exact Age 32,E33=Exact Age 33,E34=Exact Age 34,E35=Exact Age 35,E36=Exact Age 36,E37=Exact Age 37,E38=Exact Age 38,E39=Exact Age 39,E40=Exact Age 40,E41=Exact Age 41,E42=Exact Age 42,E43=Exact Age 43,E44=Exact Age 44,E45=Exact Age 45,E46=Exact Age 46,E47=Exact Age 47,E48=Exact Age 48,E49=Exact Age 49,E50=Exact Age 50,E51=Exact Age 51,E52=Exact Age 52,E53=Exact Age 53,E54=Exact Age 54,E55=Exact Age 55,E56=Exact Age 56,E57=Exact Age 57,E58=Exact Age 58,E59=Exact Age 59,E60=Exact Age 60,E61=Exact Age 61,E62=Exact Age 62,E63=Exact Age 63,E64=Exact Age 64,E65=Exact Age 65,E66=Exact Age 66,E67=Exact Age 67,E68=Exact Age 68,E69=Exact Age 69,E70=Exact Age 70,E71=Exact Age 71,E72=Exact Age 72,E73=Exact Age 73,E74=Exact Age 74,E75=Exact Age 75,E76=Exact Age 76,E77=Exact Age 77,E78=Exact Age 78,E79=Exact Age 79,E80=Exact Age 80,E81=Exact Age 81,E82=Exact Age 82,E83=Exact Age 83,E84=Exact Age 84,E85=Exact Age 85,E86=Exact Age 86,E87=Exact Age 87,E88=Exact Age 88,E89=Exact Age 89,E90=Exact Age 90,E91=Exact Age 91,E92=Exact Age 92,E93=Exact Age 93,E94=Exact Age 94,E95=Exact Age 95,E96=Exact Age 96,E97=Exact Age 97,E98=Exact Age 98,E99=Exact Age 99,I17=Inferred Age 17,I18=Inferred Age 18,I19=Inferred Age 19,I20=Inferred Age 20,I21=Inferred Age 21,I22=Inferred Age 22,I23=Inferred Age 23,I24=Inferred Age 24,I25=Inferred Age 25,I26=Inferred Age 26,I27=Inferred Age 27,I28=Inferred Age 28,I29=Inferred Age 29,I30=Inferred Age 30,I31=Inferred Age 31,I32=Inferred Age 32,I33=Inferred Age 33,I34=Inferred Age 34,I35=Inferred Age 35,I36=Inferred Age 36,I37=Inferred Age 37,I38=Inferred Age 38,I39=Inferred Age 39,I40=Inferred Age 40,I41=Inferred Age 41,I42=Inferred Age 42,I43=Inferred Age 43,I44=Inferred Age 44,I45=Inferred Age 45,I46=Inferred Age 46,I47=Inferred Age 47,I48=Inferred Age 48,I49=Inferred Age 49,I50=Inferred Age 50,I51=Inferred Age 51,I52=Inferred Age 52,I53=Inferred Age 53,I54=Inferred Age 54,I55=Inferred Age 55,I56=Inferred Age 56,I57=Inferred Age 57,I58=Inferred Age 58,I59=Inferred Age 59,I60=Inferred Age 60,I61=Inferred Age 61,I62=Inferred Age 62,I63=Inferred Age 63,I64=Inferred Age 64,I65=Inferred Age 65,I66=Inferred Age 66,I67=Inferred Age 67,I68=Inferred Age 68,I69=Inferred Age 69,I70=Inferred Age 70,I71=Inferred Age 71,I72=Inferred Age 72,I73=Inferred Age 73,I74=Inferred Age 74,I75=Inferred Age 75,I76=Inferred Age 76,I77=Inferred Age 77,I78=Inferred Age 78,I79=Inferred Age 79,I80=Inferred Age 80,I81=Inferred Age 81,I82=Inferred Age 82,I83=Inferred Age 83,I84=Inferred Age 84,I85=Inferred Age 85,I86=Inferred Age 86,I87=Inferred Age 87,",Declared/Modeled,AdultPID,72d11fe0-6756-4f92-898f-a41e55ab4f83
10792,Person 1: Gender,gndr_gndr_1,"Assigned based on various methods including self-reported survey responses, public record, and gender name table algorithms.",1,char,,,"B=Male/Female Pair (Only in Enrichment),blank=Null,F=Female,M=Male,U=Unknown,",Declared/Inferred,AdultPID,b3550c6e-a85f-4d64-a1db-c6596ed78107
224,Person 1: Marital Status,mrtl_model_1,Model predicting the marital status of the persons in the Living Unit.,2,char,,,"0U=Unknown Not scored,1M=Married  Extremely Likely,5M=Married Likely,5S=Single Likely, never married,5U=Unknown Scored,blank=Null,",Declared/Modeled,AdultPID,505c69b0-f511-4b89-b263-69ca138bf171
189,Person 1: Education Model,educ_model_1,"Compiled from self-reported survey, derived from occupation information or calculated by predictive model.  Position 1: 1=Extremely Likely, 5=Likely. Position 2: Education codes 0-5. 00=Unknown
Blank=Null",2,char,,,"00=Unknown,11=HS Diploma - Extremely Likely,12=Some College -Extremely Likely,13=Bach Degree - Extremely Likely,14=Grad Degree - Extremely Likely,15=Less than HS Diploma - Ex Like,51=HS Diploma - Likely,52=Some College - Likely,53=Bach Degree - Likely,54=Grad Degree - Likely,55=Less than HS Diploma - Likely,blank=Null,",Declared/Modeled,AdultPID,12121641-b318-480f-a076-e341d58612d1
10770,Person 1: Education Level,educ_levl_1,Education Level,1,AN,9,,"0=Unknown,1=High School Diploma,2=Some College,3=Completed College,4=Graduate Degree,5=Less Than High School Diploma,blank=Blank,",Known/Declared,AdultPID,ddb9e736-d476-4443-b566-4047a6ffa706
10797,Person 1: Occupation Code,ocup_ocup_1,Compiled from self-reported data and/or state agencies.,2,AN,99,,"00=Unknown ,02=Professional/Technical,03=Upper Management/Executive,04=Middle Management,05=Sales/Marketing,06=Clerical/Office,07=SkilledTrade/Machine/Laborer,08=Retired,10=Executive/Administrator,11=Self Employed,12=Professional Driver,13=Military,14=Civil Servant,15=Farming/Agriculture,16=Work From Home,17=Health Services,18=Financial Services,21=Teacher/Educator,22=Retail Sales,23=Computer Professional,30=Beauty,31=Real Estate,32=Architects,33=Interior Designers,34=Landscape Architects,35=Electricians,36=Engineers,37=Accountants/CPA,38=Attorneys,39=Social Worker,40=Counselors,41=Occupational Ther/Physical Ther,42=Speech Path./Audiologist,43=Psychologist,44=Pharmacist,45=Opticians/Optometrist,46=Veterinarian,47=Dentist/Dental Hygienist,48=Nurse,49=Doctors/Physicians/Surgeons,50=Chiropractors,51=Surveyors,52=Clergy,53=Insurance/Underwriters,54=Services/Creative,blank=Blank,",Known/Declared,AdultPID,d56d86f8-2f99-475d-9b93-e03f4998c60d
12218,Person 1: Occupation Group V2,ocup_model_v2_1,"Information is compiled from self-reported surveys, derived from state licensing agencies, or calculated through the application of predictive models. Position 1: I=Inferred, K=Known, or U=Unknown. Position 2: Occupation code 0-9.",2,char,,,"blank=Null,I1=Management - Inferred,I2=Technical - Inferred,I3=Professional - Inferred,I4=Sales - Inferred,I5=Office Administration - Inferred,I6=Blue Collar - Inferred,I7=Farmer - Inferred,I8=Other - Inferred,I9=Retired - Inferred,K1=Management - Known,K2=Technical - Known,K3=Professional - Known,K4=Sales - Known,K5=Office Administration - Known,K6=Blue Collar - Known,K7=Farmer - Known,K8=Other - Known,K9=Retired - Known,U0=Unknown,",Declared/Modeled,AdultPID,52b3924d-4b45-45fb-87d5-8a7b9f5158a1
10768,Person 1: Business Owner,biz_owner_1,Business Owner,1,char,,,"U=Unknown,Y=Yes ,",Declared,AdultPID,32a55490-18c1-4a6d-a457-36610e852019
10779,Person 1: Ethnic - Country Of Origin,et_cntry_1,Based on a comprehensive predictive name analysis process that identifies country of origin for Hispanic names.,2,char,,,"00=Unknown,01=Mexico,02=Cuba,03=Puerto Rico,04=Nicaragua,05=Dominican Republic,06=Colombia,07=Honduras,08=Guatemala,09=El Salvador,10=Costa Rica,11=Panama,12=Ecuador,13=Venezuela,14=Argentina,15=Chile,16=Peru,17=Bolivia,18=Uruguay,19=Paraguay,20=Spain,blank=Null,",Derived,AdultPID,d97f3720-6cfe-405d-99c3-ad0be1536f91
10780,Person 1: Ethnic - Ethnic,et_code_1,Based on a comprehensive predictive name analysis process which identifies ethnicity.,2,char,,,"00=Unknown,01=English,02=Scottish,03=Danish,04=Swedish,05=Norwegian,06=Finnish,07=Icelandic,08=Dutch,09=Belgian,10=German,11=Austrian,12=Hungarian,13=Czech,14=Slovak,15=Irish,16=Welsh,17=French,18=Swiss,19=Italian,2=Scottish,20=Hispanic,21=Portuguese,22=Polish,23=Estonian,24=Latvian,25=Lithuanian,26=Ukrainian,27=Georgian,28=Byelorussian,29=Armenian,30=Russian,31=Turkish,32=Kurdish,33=Greek,34=Persian,35=Moldovan,36=Bulgarian,37=Romanian,38=Albanian,39=Native American,40=Slovenian,41=Croat,42=Serb,43=Bosniak,44=Azerbaijani,45=Kazakh,46=Afghan,47=Pakistani,48=Bengali,49=Indonesian,50=Asian Indian,51=Burmese (Myanmar),52=Mongolian,53=Chinese,55=Taiwanese,56=Korean,57=Japanese,58=Thai,59=Malaysian,60=Laotian,61=Khmer,62=Vietnamese,63=Sri Lankan,64=Uzbek,65=Hmong,66=Jewish,67=Aleut,68=Hebrew,70=Arab,71=Brazilian,72=Turkmen,73=Tajik,74=Kirghiz,75=Saudi,76=Iraqi,77=Libyan,78=Egyptian,79=Rwandan,7A=Hindu(retired 2022),7B=Djiboutian,7C=Manx,7D=Telugan(retired 2022),7E=Nepalese,7F=Samoan,7G=Mauritanian,7H=Inuit,7M=Trinidadian,7N=Southern African,80=Tongan,81=Senegalese,82=Malawian,83=South sudanese,84=Moroccan,85=African American,86=Kenyan,87=Nigerian (Nigeria),88=Ghanaian,89=Zambian,8A=Congolese,8B=Central african republic,8C=Togolese,8D=Bahraini,8E=Qatari,8F=Guyanese,8G=Tibetan,8H=Fijian,8I=Swazi,8J=Zulu,8K=Xhosa,8L=Basotho(retired 2022),8M=Afrikaner,8N=Liberian,8O=Comoran,8P=Beninese,8Q=Burkinabe (Burkina Faso),8R=Nigerian (Niger),8S=Akan,8T=Swahili,8U=Haitian,8V=Malian,8W=Jamaican,8X=Hausa,8Y=African Continental,90=Zaire(retired 2022),91=Surinamese,92=Mozambican (Mozambique),93=Ivorian (Ivory Coast),94=Bhutanese,95=Ethiopian,96=Ugandan,97=Botswana,98=Cameroonian,99=Zimbabwean,9A=Namibian,9B=Burundi,9C=Tanzanian,9D=Gambian,9E=Somali,9F=Macedonian,9G=Chadian,9H=Gabonese,9I=Angolan,9J=Chechen,9K=Igbo,9L=Yoruba,9M=Algerian,9N=Filipino,9O=Sotho (Lesotho),9P=Tunisian,9Q=Hawaiian,9R=Malagasy (Madagascar),9S=Basque(retired 2022),9T=Sierra leonean,9U=Kuwaiti,9V=Yemeni,9W=Guinea-bissau,9X=Papua new guinean,9Y=Equatorial guinean,9Z=Syrian,A1=African American (Arabic),A2=African American (Arabic),A3=African American (Arabic),A4=African American (Arabic),A5=African American (Arabic),blank=Null,D1=African American (Dutch),D2=African American (Dutch),D3=African American (Dutch),D4=African American (Dutch),D5=African American (Dutch),E1=African American (English),E2=African American (English),E3=African American (English),E4=African American (English),E5=African American (English),F1=African American (French),F2=African American (French)(retired 2023),F3=African American (French)(retired 2023),F4=African American (French),F5=African American (French),I1=African American (Irish),I2=African American (Irish),I3=African American (Irish),I4=African American (Irish),I5=African American (Irish),S1=African American (Scotch),S2=African American (Scotch),S3=African American (Scotch),S4=African American (Scotch),S5=African American (Scotch),U1=African American (Unknown),U2=African American (Unknown),U3=African American (Unknown),U4=African American (Unknown),U5=African American (Unknown),UC=Uncodable records,W1=African American (Welsh),W2=African American (Welsh),W3=African American (Welsh),W4=African American (Welsh),W5=African American (Welsh),ZZ=Multi-Ethnic,",Derived,AdultPID,10809cdd-b378-48a6-bcea-fac4de41f45b
10782,Person 1: Ethnic - Group,et_grp_1,Based on a comprehensive predictive name analysis process that identifies ethnicity.,1,char,,,"A=African American,B=Southeast Asian,blank=Null,C=South Asian,D=Central Asian,E=Mediterranean,F=Native American,G=Scandinavian,H=Polynesian,I=Middle Eastern,J=Jewish,K=Western European,L=Eastern European,M=Caribbean Non-Hispanic,N=East Asian,O=Hispanic,Z=Uncoded,",Derived,AdultPID,7ceacf41-e1dd-4b16-a6bd-978cb5368d0b
11070,Person 1: Ethnic - Language Preference,et_lang_1,Based on a comprehensive predictive name analysis process that identifies language preference.,2,char,,,"00=Unknown,01=English,03=Danish,04=Swedish,05=Norwegian,06=Finnish,07=Icelandic,08=Dutch,09=Flemish/Walloon,10=German,12=Hungarian,13=Czech,14=Slovak,17=French,19=Italian,20=Spanish,21=Portuguese,22=Polish,23=Estonian,24=Latvian,25=Lithuanian,27=Georgian,29=Armenian,30=Russian,31=Turkish,32=Kurdish,33=Greek,34=Persian,35=Moldovan,36=Bulgarian,37=Romanian,38=Albanian,40=Slovenian,41=Serbo-Croatian,44=Azerbaijani,45=Kazakh,46=Pashtu/Pashto,47=Urdu,48=Bengali/Bangla,49=Bahasa indonesia,50=Asian Indian (Hindi or Other),51=Burmese,52=Mongolian,53=Mandarin,54=Cantonese,56=Korean,57=Japanese,58=Thai,59=Bahasa melayu,60=Lao,61=Khmer,62=Vietnamese,63=Sinhala,64=Uzbek,65=Hmong,68=Hebrew,70=Arabic,72=Turkmen,74=Kirghiz,7E=Nepali,7F=Samoan,7H=Inuktitut,80=Tongan,8G=Tibetan,8I=Siswati,8J=Zulu,8K=Xhosa,8M=Afrikaans,8O=Comorian/Shikomoro,8S=Akan,8T=Swahili,8X=Hausa,9=Flemish/walloon,92=Bantu languages,94=Dzongkha,95=Amharic,9E=Somali,9F=Macedonian,9J=Chechen,9K=Igbo,9L=Yoruba,9N=Tagalog,9O=Sesotho,9R=Malagas,9X=Tok Pisin,blank=Null,",Derived,AdultPID,7b34adf3-dec3-4218-b350-6ec4a3d9a245
10783,Person 1: Ethnic - Religion,et_relg_1,Based on a comprehensive predictive name analysis process that identifies ethnicity.,1,char,,,"B=Buddhist,blank=Null,C=Catholic,E=Oriental orthodox,G=Greek orthodox(retired 2022),H=Hindu,I=Muslim,J=Jewish,K=Sikh,L=Lutheran,M=Mormon,O=Eastern Orthodox,P=Protestant,S=Shinto,X=Not Known or Unmatched,",Derived,AdultPID,0f99d73c-cddb-4805-8073-1628446f4222
11069,Person 1: Ethnic - Assimilation,et_asim_1,"Assimilation coding can be identified on the following detail ethnicities: Hispanic, Chinese, Japanese, Khmer, Korean, Laotian, Thai, Vietnamese, Filipino, Indian and Pakistani.",1,AN,9,,"0=Not Applicable or Unknown,1=Assimilated Speaks English Only,2=Bilingual English,3=Bilingual native,4=Unassimilated Native Only,blank=Blank,",Derived,AdultPID,7f77b24a-074f-4efd-87fc-9dbc32feae6b
